"snippet","label"
"We retain personal data only as long as necessary for processing purposes, and comply with legal retention requirements.",Compliant"
"Data is kept for a period deemed appropriate.",Partially Compliant"
"We store your data forever.",Non-Compliant"
"All data is encrypted using AES-256 encryption at rest and in transit.",Compliant"
"We use some encryption for sensitive data.",Partially Compliant"
"No data encryption is used.",Non-Compliant"
"Explicit consent is obtained before collecting any personally identifiable information (PII).",Compliant"
"Consent for data collection is implied.",Partially Compliant"
"Data is collected without user consent.",Non-Compliant"
"Users have the right to access, rectify, erase, restrict processing, object to processing, and data portability regarding their personal data.",Compliant"
"Users can ask to see their data, maybe.",Partially Compliant"
"Users have no rights over their personal data.",Non-Compliant"
"Data is shared with third-party processors under strict data processing agreements ensuring data protection.",Compliant"
"Data might be shared with partners.",Partially Compliant"
"Data is sold to any interested party.",Non-Compliant"
"Cookies are used to enhance user experience and for essential website functionality. Users can manage cookie preferences.",Compliant"
"We use cookies.",Partially Compliant"
"Cookies are used without user notification or control.",Non-Compliant"
"Security measures are regularly reviewed and updated to address emerging threats.",Compliant"
"Security is reviewed occasionally.",Partially Compliant"
"Security measures are static and never updated.",Non-Compliant"
"We are fully compliant with GDPR and other applicable data protection laws.",Compliant"
"We aim to be compliant with data protection regulations.",Partially Compliant"
"Data protection regulations are disregarded.",Non-Compliant"
"A dedicated Data Protection Officer (DPO) oversees data privacy and is the point of contact for data protection inquiries.",Compliant"
"Someone is responsible for data privacy.",Partially Compliant"
"No one is in charge of data privacy.",Non-Compliant"
"Our privacy policy is easily accessible from our website footer and clearly explains our data processing practices.",Compliant"
"The privacy policy is somewhere on our site.",Partially Compliant"
"There is no publicly available privacy policy.",Non-Compliant"
"Data breach notifications will be provided to affected users and relevant authorities within 72 hours of detection, as required by law.",Compliant"
"Users will be informed about data breaches, eventually.",Partially Compliant"
"Data breaches are not disclosed to users.",Non-Compliant"
"Data processing is primarily within the EU/EEA, and Standard Contractual Clauses (SCCs) are used for international data transfers.",Compliant"
"Data is processed in countries with no data protection laws and no safeguards.",Non-Compliant"
"Anonymized data is used for research to protect user privacy.",Compliant"
"Personal user data is publicly released for research.",Non-Compliant"
"This policy is reviewed and updated at least annually to ensure accuracy and reflect current practices and legal changes.",Compliant"
"The policy is updated when we remember.",Partially Compliant"
"This policy is outdated and never reviewed.",Non-Compliant"
"Employees receive mandatory data privacy training upon onboarding and annually thereafter.",Compliant"
"Employees get some data privacy training.",Partially Compliant"
"Employees receive no data privacy training.",Non-Compliant"
"Access to personal data is restricted to authorized personnel on a need-to-know basis.",Compliant"
"Many employees can access personal data.",Partially Compliant"
"All employees have unrestricted access to all personal data.",Non-Compliant"
"We conduct regular data protection impact assessments (DPIAs) for high-risk processing activities.",Compliant"
"We sometimes think about data privacy risks.",Partially Compliant"
"Data privacy risks are not considered.",Non-Compliant"
"Users can easily withdraw their consent at any time.",Compliant"
"Consent withdrawal is difficult to process.",Partially Compliant"
"Consent withdrawal is not possible.",Non-Compliant"
"We provide transparent information about the purposes of data processing at the time of data collection.",Compliant"
"We explain why we collect data, vaguely.",Partially Compliant"
"The purpose of data collection is never disclosed.",Non-Compliant"
"Data minimization principles are applied, collecting only data necessary for specified purposes.",Compliant"
"We collect a lot of data, just in case.",Partially Compliant"
"We collect as much data as possible, regardless of necessity.",Non-Compliant"
"We have a clear and documented data breach response plan.",Compliant"
"We have a rough idea of what to do in case of a breach.",Partially Compliant"
"We have no plan for data breaches.",Non-Compliant"
"Data accuracy is maintained through regular data cleansing and validation processes.",Compliant"
"Data accuracy is sometimes checked.",Partially Compliant"
"Data accuracy is not a concern.",Non-Compliant"
"We use pseudonymization techniques where appropriate to enhance data privacy.",Compliant"
"We might use pseudonymization sometimes.",Partially Compliant"
"Pseudonymization is not used.",Non-Compliant"
"International data transfers are conducted in compliance with applicable legal mechanisms, such as Binding Corporate Rules (BCRs).",Compliant"
"International data transfers are done, somehow.",Partially Compliant"
"International data transfers ignore data protection regulations.",Non-Compliant"
"All employees are required to complete mandatory safety training upon hire and annually.",Compliant"
"Safety training is offered but optional.",Partially Compliant"
"No safety training is provided.",Non-Compliant"
"Emergency exits are clearly marked and regularly inspected to ensure accessibility.",Compliant"
"Emergency exits are marked, maybe.",Partially Compliant"
"Emergency exits are blocked or unmarked.",Non-Compliant"
"Regular safety audits are conducted to identify and mitigate potential workplace hazards.",Compliant"
"Safety audits are done infrequently.",Partially Compliant"
"No safety audits are ever conducted.",Non-Compliant"
"Personal Protective Equipment (PPE) is provided and required for employees in hazardous roles.",Compliant"
"PPE is available if employees ask for it.",Partially Compliant"
"No PPE is provided, even in hazardous roles.",Non-Compliant"
"A clear incident reporting system is in place, ensuring all incidents are investigated and addressed.",Compliant"
"Incident reporting is discouraged.",Partially Compliant"
"Incidents are not reported or investigated.",Non-Compliant"
"First aid kits are readily available and regularly stocked in all work areas.",Compliant"
"First aid kits are somewhere, maybe.",Partially Compliant"
"No first aid kits are available.",Non-Compliant"
"Ergonomic assessments are provided to employees to prevent musculoskeletal injuries.",Compliant"
"Ergonomic assessments are available upon request.",Partially Compliant"
"No ergonomic assessments are offered.",Non-Compliant"
"Safety procedures are documented and communicated to all employees.",Compliant"
"Safety procedures are vaguely communicated.",Partially Compliant"
"Safety procedures are not communicated to employees.",Non-Compliant"
"Hazardous materials are properly labeled, stored, and handled according to safety regulations.",Compliant"
"Hazardous materials are somewhat labeled.",Partially Compliant"
"Hazardous materials are unlabeled and improperly stored.",Non-Compliant"
"Regular fire drills are conducted to ensure employee preparedness in case of a fire emergency.",Compliant"
"Fire drills are infrequent and unplanned.",Partially Compliant"
"No fire drills are ever conducted.",Non-Compliant"
"Employees are encouraged to report safety concerns without fear of retaliation.",Compliant"
"Reporting safety concerns is discouraged.",Partially Compliant"
"Employees are punished for reporting safety concerns.",Non-Compliant"
"Workplace violence prevention policies are in place and communicated to employees.",Compliant"
"Workplace violence policy exists, somewhere.",Partially Compliant"
"No workplace violence prevention policies are in place.",Non-Compliant"
"Adequate ventilation and air quality are maintained in all work areas.",Compliant"
"Ventilation is sometimes adequate.",Partially Compliant"
"Ventilation is poor and air quality is neglected.",Non-Compliant"
"Electrical safety is maintained through regular inspections and maintenance of electrical equipment.",Compliant"
"Electrical inspections are infrequent.",Partially Compliant"
"Electrical safety is not a priority.",Non-Compliant"
"Machine guarding is in place on all machinery to prevent injuries.",Compliant"
"Machine guarding is incomplete or inadequate.",Partially Compliant"
"No machine guarding is used on machinery.",Non-Compliant"
"Safe lifting and handling procedures are taught and enforced to prevent back injuries.",Compliant"
"Safe lifting practices are suggested.",Partially Compliant"
"No safe lifting procedures are taught or enforced.",Non-Compliant"
"Fall protection measures are in place for work at heights.",Compliant"
"Fall protection is sometimes used for work at heights.",Partially Compliant"
"No fall protection is provided for work at heights.",Non-Compliant"
"Regular safety meetings are held to discuss safety issues and improvements.",Compliant"
"Safety meetings are held sporadically.",Partially Compliant"
"No safety meetings are ever held.",Non-Compliant"
"We are committed to reducing our carbon footprint and have set specific reduction targets.",Compliant"
"We want to be more environmentally friendly.",Partially Compliant"
"Environmental impact is not a concern for us.",Non-Compliant"
"A comprehensive recycling program is implemented company-wide, covering paper, plastic, and metal.",Compliant"
"We encourage recycling, maybe.",Partially Compliant"
"No recycling program is in place.",Non-Compliant"
"Energy-efficient equipment and practices are used throughout our operations to minimize energy consumption.",Compliant"
